id,user1_id,user2_id,last_message,last_message_at,created_at,user1_deleted_at,user2_deleted_at,wallpaper_url,wallpaper_set_by
08fa3a68-54c9-4e7b-8dce-d247d9d716c9,445e1eca-a7e4-48f2-9732-33f76efc50d1,c17eda77-4de0-405c-bc21-6bedde30e162,como andas,2026-05-17 19:20:34.918+00,2026-04-26 18:55:47.021466+00,,,,
30374638-3fee-4ca0-9f74-dd7682a37607,445e1eca-a7e4-48f2-9732-33f76efc50d1,84a3c792-adfe-4338-8131-e318333b6676,,2026-04-27 21:32:17.964375+00,2026-04-27 21:32:17.964375+00,,,,
39782164-477b-4d9c-ac23-d00453c61c16,1fd844a1-e6ff-41a0-ad32-02af29b43c0e,445e1eca-a7e4-48f2-9732-33f76efc50d1,hola,2026-04-27 21:32:30.309+00,2026-04-27 20:08:14.980179+00,,,https://pmnmxwdriluiwieankuh.supabase.co/storage/v1/object/public/uploads/wallpapers/1fd844a1-e6ff-41a0-ad32-02af29b43c0e/1777320525644_gs7zwl_4-up_on_1-9-21_at_11.43_PM__10.jpg,1fd844a1-e6ff-41a0-ad32-02af29b43c0e
708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,445e1eca-a7e4-48f2-9732-33f76efc50d1,chupalo,2026-05-18 05:46:27.615+00,2026-04-27 03:16:41.28685+00,,,https://pmnmxwdriluiwieankuh.supabase.co/storage/v1/object/public/uploads/wallpapers/445e1eca-a7e4-48f2-9732-33f76efc50d1/1777262226080_2horyo_Captura_de_Pantalla_2026-03-27_a_la_s__10.30.20_p._m..png,445e1eca-a7e4-48f2-9732-33f76efc50d1
75af061b-fdd8-4282-ae5b-b2445740ab77,b7f283b4-a566-4c96-adad-5f10aec955a1,dd36b96a-ae3b-4ed4-901b-4353c1c64610,,2026-04-30 18:59:42.29854+00,2026-04-30 18:59:42.29854+00,,,https://pmnmxwdriluiwieankuh.supabase.co/storage/v1/object/public/uploads/wallpapers/b7f283b4-a566-4c96-adad-5f10aec955a1/1777575638503_eomptw_F825B1C3-527B-49F7-8525-8B8F4F733F71_A3544F0E-23BF-4593-BAB9-9124B42E1837.jpeg,b7f283b4-a566-4c96-adad-5f10aec955a1
bb326340-22db-48ed-83a6-edf4fa1d979c,2cf9cd6b-f610-4293-96ae-f2850ddfe5f5,445e1eca-a7e4-48f2-9732-33f76efc50d1,Captura de Pantalla 2026-03-27 a la(s) 10.30.20 p. m..png,2026-04-29 21:15:22.143+00,2026-04-27 21:32:22.856396+00,,,https://pmnmxwdriluiwieankuh.supabase.co/storage/v1/object/public/uploads/wallpapers/2cf9cd6b-f610-4293-96ae-f2850ddfe5f5/1777424044329_b0a84m_IMG_0087.heic,2cf9cd6b-f610-4293-96ae-f2850ddfe5f5
c7af045d-23c6-4888-975f-146c1d72d80c,2cf9cd6b-f610-4293-96ae-f2850ddfe5f5,9956f405-8f04-4316-b8ae-fa04b3d74bdc,,2026-04-28 13:43:31.326129+00,2026-04-28 13:43:31.326129+00,,,,
e84cf011-c282-4772-9ddf-f3cbbe1b966a,445e1eca-a7e4-48f2-9732-33f76efc50d1,9956f405-8f04-4316-b8ae-fa04b3d74bdc,audio_1777317916722.webm,2026-04-27 19:25:23.91+00,2026-04-27 19:23:28.658072+00,,,,
ed021046-9bad-4c0f-8422-6bda58545886,84a3c792-adfe-4338-8131-e318333b6676,a1089cef-95a1-422c-8aab-639fbc3a9ea1,Hi,2026-04-27 20:50:41.862+00,2026-04-27 20:49:55.483484+00,,,https://pmnmxwdriluiwieankuh.supabase.co/storage/v1/object/public/uploads/wallpapers/84a3c792-adfe-4338-8131-e318333b6676/1777323051630_sx378f_1000224221.jpg,84a3c792-adfe-4338-8131-e318333b6676
f4e10358-6538-4f9e-975b-a223c9ede639,445e1eca-a7e4-48f2-9732-33f76efc50d1,7d715043-e292-4f35-83b3-5c1a7e1c7b0e,habla jose,2026-04-30 15:32:18.432+00,2026-04-29 02:43:26.616345+00,,,,
