id,chat_id,sender_id,content,type,metadata,read_at,created_at,edited_at,deleted_at,file_url,file_name,file_size,duration,expires_at
00e6cf5f-aa0c-4b83-a410-06d9e2ec7b00,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,image,,2026-05-06 00:55:47.755+00,2026-05-06 00:55:45.441778+00,,2026-05-11 03:15:39.953+00,https://pmnmxwdriluiwieankuh.supabase.co/storage/v1/object/public/uploads/partner-files/0a4d17e6-babd-4459-99a6-1f343f1f2656/1778028944930_o2161e_IMG_8088.JPG,IMG_8088.JPG,198053,,2026-05-07 00:55:45.424+00
052eb557-4515-400f-864e-7c3fbf3a6a08,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-05-06 00:52:27.699+00,2026-05-06 00:52:27.364006+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:52:27.338+00
08697e36-c8b6-4df8-b013-146be65f9476,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-05-06 00:52:19.725+00,2026-05-06 00:52:08.008126+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:52:07.994+00
09d1df6a-156a-4fbe-9da3-a7d063a79063,f4e10358-6538-4f9e-975b-a223c9ede639,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,,2026-04-30 15:32:18.406192+00,,2026-05-01 19:45:23.08+00,,,,,2026-05-01 15:32:18.381+00
09f7aa52-9337-4d46-952b-5503bd80d8e1,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-05-06 00:52:19.725+00,2026-05-06 00:52:09.707252+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:52:09.683+00
0b43baf1-fc18-4daa-8b94-71d5dfec1f5b,708ae961-528e-470c-b73e-f8d4f6f3b6d6,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-05-18 05:40:50.154+00,2026-05-18 05:40:16.339117+00,,2026-05-27 05:34:45.935+00,,,,,2026-05-19 05:40:16.329+00
0c9882fe-c34f-4afc-a2e7-db45ae7770a3,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-05-06 00:52:51.672+00,2026-05-06 00:52:50.56264+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:52:50.543+00
0cdd2ce0-7683-4df7-a28f-c272ff61a586,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-04-27 03:55:58.43+00,2026-04-27 03:55:56.543191+00,,2026-04-28 13:43:25.007+00,,,,,2026-04-28 03:55:56.525+00
0daa226d-996b-4343-8466-c0b02f80f8c4,08fa3a68-54c9-4e7b-8dce-d247d9d716c9,445e1eca-a7e4-48f2-9732-33f76efc50d1,mm,text,,2026-04-26 23:35:26.553+00,2026-04-26 21:20:51.351013+00,,,,,,,
0ed29f86-b4f5-4d64-b56a-bcd5088d4e4e,08fa3a68-54c9-4e7b-8dce-d247d9d716c9,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-04-26 23:35:26.553+00,2026-04-26 21:20:49.569997+00,,2026-04-27 21:32:09.609+00,,,,,2026-04-27 21:20:49.569997+00
102704bb-19a6-4f4f-b622-80bdc3fe420f,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-05-06 00:52:19.725+00,2026-05-06 00:52:09.006345+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:52:08.99+00
10c4e82f-8366-44a8-8f20-574bb68a9628,08fa3a68-54c9-4e7b-8dce-d247d9d716c9,c17eda77-4de0-405c-bc21-6bedde30e162,Mensaje expirado,text,,2026-05-17 19:11:34.284+00,2026-05-17 06:20:03.542455+00,,2026-05-18 06:20:31.226+00,,,,,2026-05-18 06:20:01.298+00
1128630c-ae17-4e2a-a3ab-877e9c9ee487,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-05-06 00:53:56.353+00,2026-05-06 00:53:53.109476+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:53:53.085+00
13c71f6b-7ba1-4f85-90e1-be80c280daa1,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-05-06 00:52:43.688+00,2026-05-06 00:52:41.784615+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:52:41.765+00
17bf1cc7-b55a-4466-871c-eab698f94e5c,708ae961-528e-470c-b73e-f8d4f6f3b6d6,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-04-27 03:57:36.872+00,2026-04-27 03:57:33.741213+00,,2026-04-28 13:43:25.007+00,,,,,2026-04-28 03:57:33.723+00
18d7c6f0-7603-4939-b94e-04f652a55b0c,708ae961-528e-470c-b73e-f8d4f6f3b6d6,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-04-27 03:56:28.847+00,2026-04-27 03:56:25.120917+00,,2026-04-28 13:43:25.007+00,,,,,2026-04-28 03:56:25.105+00
1b1694e9-090c-4119-be26-779f1ee48281,e84cf011-c282-4772-9ddf-f3cbbe1b966a,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,audio,,2026-04-27 19:25:26.628+00,2026-04-27 19:25:23.878617+00,,2026-04-28 20:16:56.644+00,https://pmnmxwdriluiwieankuh.supabase.co/storage/v1/object/public/uploads/partner-files/445e1eca-a7e4-48f2-9732-33f76efc50d1/1777317923226_2u1u8h_audio_1777317916722.webm,audio_1777317916722.webm,26378,,2026-04-28 19:25:23.836+00
20686a69-d4fe-45c6-986c-a209aa2816ae,08fa3a68-54c9-4e7b-8dce-d247d9d716c9,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-04-26 23:35:26.553+00,2026-04-26 21:20:50.714814+00,,2026-04-27 21:32:09.609+00,,,,,2026-04-27 21:20:50.714814+00
211e63f7-8ab8-4c46-bd2e-6d4f4e9539a3,708ae961-528e-470c-b73e-f8d4f6f3b6d6,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje eliminado,text,,2026-05-06 00:52:36.794+00,2026-05-06 00:52:36.231945+00,,2026-05-06 00:53:22.202+00,,,,,2026-05-07 00:52:36.217+00
230e6e48-837a-405d-9107-862fdd87beb1,708ae961-528e-470c-b73e-f8d4f6f3b6d6,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-05-06 00:52:27.699+00,2026-05-06 00:52:27.714306+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:52:27.69+00
2452bca7-7a51-40c6-9fe9-ae2eca3dfc16,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-05-06 00:52:19.725+00,2026-05-06 00:52:08.835991+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:52:08.816+00
2674efcd-7719-4ec9-b179-44699f1b4333,08fa3a68-54c9-4e7b-8dce-d247d9d716c9,c17eda77-4de0-405c-bc21-6bedde30e162,Mensaje expirado,text,,2026-04-26 19:13:49.905+00,2026-04-26 19:13:43.230536+00,,2026-04-27 19:23:12.362+00,,,,,2026-04-27 19:13:43.230536+00
2692ec9f-c290-4082-b147-47ac2ec0c524,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-05-06 00:52:35.652+00,2026-05-06 00:52:35.531211+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:52:35.512+00
276601af-2fa9-418b-99a1-129cf9ab4ffd,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-04-27 03:58:29.758+00,2026-04-27 03:58:27.387132+00,,2026-04-28 13:43:25.007+00,,,,,2026-04-28 03:58:27.371+00
27b23911-fdf1-4c5c-bc3a-4532c46bdd52,708ae961-528e-470c-b73e-f8d4f6f3b6d6,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-04-27 03:52:56.961+00,2026-04-27 03:49:48.681892+00,,2026-04-28 13:43:25.007+00,,,,,2026-04-28 03:49:48.672+00
2a1dafb0-02df-4225-8a68-481b10c04d5c,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,image,,2026-04-27 03:54:54.29+00,2026-04-27 03:54:53.220016+00,,2026-04-28 13:43:25.007+00,https://pmnmxwdriluiwieankuh.supabase.co/storage/v1/object/public/uploads/partner-files/0a4d17e6-babd-4459-99a6-1f343f1f2656/1777262089101_fxlde7_stock-vector-shut-up-97629236.jpg,stock-vector-shut-up-97629236.jpg,483237,,2026-04-28 03:54:53.201+00
2a2c643c-896b-42ac-98e1-9cae49b5de85,08fa3a68-54c9-4e7b-8dce-d247d9d716c9,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-04-26 23:35:26.553+00,2026-04-26 21:20:50.197376+00,,2026-04-27 21:32:09.609+00,,,,,2026-04-27 21:20:50.197376+00
2bd3898c-7047-46cd-87b9-f55fee347325,08fa3a68-54c9-4e7b-8dce-d247d9d716c9,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-04-26 19:45:48.959+00,2026-04-26 19:45:25.006973+00,,2026-04-27 20:08:08.608+00,,,,,2026-04-27 19:45:25.006973+00
2d5d045c-6dd9-49ea-b298-4551e43d1229,708ae961-528e-470c-b73e-f8d4f6f3b6d6,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-05-18 05:40:50.154+00,2026-05-18 05:40:17.427328+00,,2026-05-27 05:34:45.935+00,,,,,2026-05-19 05:40:17.417+00
2fea0520-aee0-4ffd-9ac5-5540e3072490,708ae961-528e-470c-b73e-f8d4f6f3b6d6,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-04-27 03:56:12.922+00,2026-04-27 03:56:10.922891+00,,2026-04-28 13:43:25.007+00,,,,,2026-04-28 03:56:10.902+00
314b6b12-191c-4a06-af30-a96ea597693d,08fa3a68-54c9-4e7b-8dce-d247d9d716c9,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-04-26 23:35:26.553+00,2026-04-26 21:20:53.058043+00,,2026-04-27 21:32:09.609+00,,,,,2026-04-27 21:20:53.058043+00
32f54bbe-2fff-4036-a310-ed374abb32dc,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,"{""reply_to"":""a59cb384-853c-4716-895b-791e77bb2c06"",""reply_preview"":""audio_1777262019933.webm""}",2026-04-27 03:54:06.322+00,2026-04-27 03:54:02.612955+00,,2026-04-28 13:43:25.007+00,,,,,2026-04-28 03:54:02.598+00
33804812-c16a-4bb4-b40a-ea75eb08bb7b,708ae961-528e-470c-b73e-f8d4f6f3b6d6,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje eliminado,text,,2026-05-06 00:52:44.798+00,2026-05-06 00:52:43.906281+00,,2026-05-06 00:53:17.594+00,,,,,2026-05-07 00:52:43.888+00
3648b74c-607d-485c-bc78-8abea3a2d027,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-05-06 00:53:35.719+00,2026-05-06 00:53:34.27455+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:53:34.25+00
3a136376-f171-4425-a143-3a940f4a8347,708ae961-528e-470c-b73e-f8d4f6f3b6d6,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje eliminado,text,,2026-05-06 00:52:50.855+00,2026-05-06 00:52:50.036644+00,,2026-05-06 00:53:14.131+00,,,,,2026-05-07 00:52:50.022+00
3ab19e06-dd3d-42a0-9408-b57294a411e8,08fa3a68-54c9-4e7b-8dce-d247d9d716c9,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje eliminado,profile_share,"{""url"":""http://localhost:3000/u/445e1eca-a7e4-48f2-9732-33f76efc50d1"",""nombre"":""Joseal""}",2026-04-26 21:08:59.788+00,2026-04-26 21:08:54.213027+00,,2026-04-26 21:19:56.939+00,,,,,
3f3f1bc0-6784-4c51-9cfe-4025e7d233bb,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-04-27 03:53:18.47+00,2026-04-27 03:53:14.844807+00,,2026-04-28 13:43:25.007+00,,,,,2026-04-28 03:53:14.825+00
3f6004c5-ab16-460e-b976-7769580dcdea,708ae961-528e-470c-b73e-f8d4f6f3b6d6,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-05-06 00:55:52.803+00,2026-05-06 00:55:52.406844+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:55:52.386+00
445c58c9-5d38-42b3-bece-eea57e4c5316,708ae961-528e-470c-b73e-f8d4f6f3b6d6,0a4d17e6-babd-4459-99a6-1f343f1f2656,Mensaje expirado,text,,2026-05-06 00:54:12.312+00,2026-05-06 00:54:08.550194+00,,2026-05-11 03:15:39.953+00,,,,,2026-05-07 00:54:08.531+00
477acf5b-2f11-41cc-bfc6-42eaeb805b10,708ae961-528e-470c-b73e-f8d4f6f3b6d6,445e1eca-a7e4-48f2-9732-33f76efc50d1,Mensaje expirado,text,,2026-04-27 03:56:36.851+00,2026-04-27 03:56:33.578452+00,,2026-04-28 13:43:25.007+00,,,,,2026-04-28 03:56:33.572+00
